node_id,base_stock,safety_stock
N000871,0.0,0.0
N000402,17319194.540130764,193313.43908603626
N000855,662.5863462949059,54.54942257776595
N000103,82330110.2906407,1783637.14772985
N000587,59366.11465304855,4519.413913878377
N000683,0.0,0.0
N000996,0.0,0.0
N000676,11452.947939510706,399.53086148048993
N000378,34268321.47904751,630800.0910787462
N000481,549441.7019172388,11592.042486152786
N000998,0.0,0.0
N000181,3171833660.2844934,43592011.09118323
N000982,278.09154499833664,48.17965163908224
N000101,3335648954.8828125,27891793.740416095
N000393,536683.1480664032,12102.337957504596
N000239,361663394.20693743,5533258.842128043
N000519,2353880.4236762063,30564.984165811304
N000112,584486542.1516534,5334168.613012372
N000543,162436.7749703286,6989.3869981856005
N000557,36329.63551631367,1226.2319851464872
N000172,159611676.89162523,3556789.692707542
N000574,0.0,0.0
N000585,2025.6511166767339,278.39118384923876
N000329,1988480.042230708,39148.701094635646
N000093,1556764353.6543212,17338089.00276034
N000193,0.0,0.0
N000200,1137373075.0621662,7126076.749224258
N000979,21.14968037548706,13.161894557653598
N000204,52900512.82112738,441289.1153449996
N000830,0.0,0.0
N000722,9657.970800107176,560.1697000412902
N000375,2383638.0142583614,36126.64687094535
N000824,5892.406289721223,284.6875146068324
N000088,54978725.46619933,1133013.626764136
N000416,23966068.573125117,468306.214230789
N000811,4215.055012970122,242.67792530804385
N000390,7881698.5341238035,79827.68644220728
N000442,20761.057591725115,2033.5013318290753
N000448,1883968.8063220493,16448.761281280676
N000424,7368639.648593104,179349.15612238477
N000911,0.0,0.0
N000978,214.78607509556954,3.2514328634319036
N000253,17239389.234614965,439914.0721204879
N000626,24718.380267467786,1203.3088023618973
N000600,289287.0210634444,4172.299693621442
N000797,4519.713620577478,213.13806737830654
N000520,1709791.9037447814,29318.89326135125
N000925,2205.8439844934483,147.3777838722497
N000505,25224.240388604656,994.2028968201681
N000086,3054492116.093742,12602689.261354724
N000438,268655.08595825545,9445.315973613237
N000813,1765.5966687472328,222.25985717561483
N000452,32112827.843347427,836817.8751382049
N000990,336.16855346212014,19.410260198729624
N000893,309.76567425769844,1.132166721330593
N000673,33976.02384379408,859.56117656605
N000038,6260237806.524541,72026636.45165147
N000622,51623.89350308106,1582.8605604691033
N000203,141773166.6913331,897730.6051858973
N000921,0.0,0.0
N000413,8448834.397096163,88354.71801303851
N000362,55919232.26518625,769108.1648795474
N000945,0.0,0.0
N000572,125829.39593039425,6203.003276304293
N000840,0.0,0.0
N000048,10208727896.280746,96270165.01331149
N000129,7840351.77986851,92154.59726323
N000455,166807.0725227333,7696.18948000593
N000358,9969120.610809332,115038.46632062021
N000480,0.0,0.0
N000834,0.0,0.0
N000944,128.34185900405188,2.1745404165876603
N000764,0.0,0.0
N000853,32026.382017953685,778.3859345591766
N000201,1334785327.5524123,26806697.05598452
N000714,23978.164984669398,699.192080206152
N000892,0.0,0.0
N000357,1577509.732122982,26765.695019039944
N000592,741469.8865250085,15073.930521367092
N000887,0.0,0.0
N000635,1156703.19209807,25151.5917631497
N000359,4310194.061538973,55789.794092787124
N000838,0.0,0.0
N000901,93.50781329163138,3.1303591618347886
N000076,6003507779.787687,60918523.117336676
N000589,1100084.1425021328,28951.982932147086
N000504,1178984.2053764274,20463.9794049416
N000256,892598518.1528943,10728605.500546644
N000671,33621.32130845093,2562.85004679572
N000150,479506124.94974613,4299399.620780752
N000705,819.182130056685,30.637701460942747
N000590,0.0,0.0
N000314,153472.34051129967,3708.3593239446445
N000836,222.8911018764437,30.639000090876863
N000879,0.0,0.0
N000320,46311054.65187953,1334567.6640503206
N000920,0.0,0.0
N000882,2608.498584931527,125.70209924257777
N000149,44560290.11220393,288914.36866632407
N000188,342489237.3839517,3106917.7437293176
N000159,6281544.339708613,140088.14458199686
N000582,3774899.1791787418,34630.36696332945
N000646,7621.320429532791,211.07035977603059
N000761,8638.281254014455,576.6995984869548
N000255,19653399.33358257,120555.9306738352
N000502,306609.2563266,9232.540170571283
N000721,0.0,0.0
N000778,1602.7095953530884,225.46301596413818
N000389,31153.96415422117,1037.6107489303947
N000353,1115574.35308489,19930.897135152543
N000960,0.0,0.0
N000698,0.0,0.0
N000245,110829947.93869583,715460.6545616741
N000876,491.8713615327781,133.23238106860262
N000913,0.0,0.0
N000126,8263193639.886416,49441574.58888708
N000014,157685799045.88406,1130369088.034272
N000241,5561637.807882205,153210.96771712956
N000087,21022147132.2919,175116773.42416486
N000085,1597317085.824999,27391195.14974079
N000788,77.99523510560101,0.2976395208558527
N000593,0.0,0.0
N000816,0.0,0.0
N000232,136373963.10793993,1803391.335853611
N000483,8939572.725421421,115692.35209056706
N000414,0.0,0.0
N000287,5830375.155850018,96497.94914908921
N000352,12554466.57494976,155844.52987069936
N000105,9933345341.818861,68501751.16709588
N000875,0.0,0.0
N000485,562437.3627906905,8849.008521073014
N000118,892181753.1442761,32983122.17279404
N000584,5627.38495416798,356.8129371201187
N000533,9485055.805941897,121705.942138469
N000364,54790209.45871999,708532.3765041241
N000732,9648.389641089092,325.08581142980125
N000783,2866.1747273373003,116.34398878187596
N000446,0.0,0.0
N000479,0.0,0.0
N000099,1064096602.6118711,21866567.740006108
N000015,19083066306.08733,183096553.0048293
N000957,0.0,0.0
N000478,68732.10580064202,2753.300605508418
N000928,0.0,0.0
N000260,3633486.5201438307,50047.984770176874
N000465,1855841.7627707005,34216.48268372121
N000847,515.7048340139846,53.816325922968936
N000124,0.0,0.0
N000999,0.0,0.0
N000110,253387214.0398521,4053836.2532714806
N000749,1765.3227373591435,546.2257510749895
N000809,13642.850935017716,1888.0589603357753
N000145,6463048556.458685,50139774.61355704
N000549,375717.8749162713,5429.701119162609
N000264,128878.49468070561,5623.103519915182
N000792,27907.01051013414,805.8025802941205
N000775,0.0,0.0
N000916,0.0,0.0
N000995,569.9891554493634,23.298542170455903
N000507,8111867.866952275,114947.84447594477
N000542,551515.0289514044,9033.64120899093
N000566,0.0,0.0
N000826,0.0,0.0
N000652,0.0,0.0
N000950,0.0,0.0
N000770,0.0,0.0
N000396,0.0,0.0
N000546,0.0,0.0
N000807,31064.0040459194,1143.1339676558864
N000343,7532.445322777488,495.07737668000135
N000793,6551.71983557002,342.4876998406686
N000844,0.0,0.0
N000059,67139838902.254776,362466496.7685932
N000492,1163445.0961273606,31580.189941958943
N000906,0.0,0.0
N000653,50048.07190300648,1613.1718632434745
N000293,162236336.44761667,3888556.158787529
N000327,79194047.02616462,1427252.1382581757
N000060,2639525607.516491,16531683.33034626
N000042,138097868348.7411,582354666.1133178
N000064,505676303.92829674,3474832.5475436384
N000147,136616847.86223823,1131055.5455694334
N000226,0.0,0.0
N000003,12750172130.539656,93776085.47029898
N000428,10034766.94524615,153341.3584234021
N000107,11283455681.9407,64634966.74665852
N000374,21515329.589854244,281397.0992197642
N000518,17902.380239345406,2698.9491218848225
N000127,3699658098.33879,37656656.48565689
N000173,157295161.24951822,1457476.2464689987
N000403,16143841.912739761,259086.63425852408
N000738,63570.76299598988,1733.5364930233623
N000420,1164907.022277036,13801.470153102724
N000336,0.0,0.0
N000224,11443726.621889988,110266.47523517099
N000831,0.0,0.0
N000558,59375.60682637204,2385.9513200187757
N000958,0.0,0.0
N000350,39247802.41830608,572779.3597398496
N000728,0.0,0.0
N000776,818.6326161098227,50.92458298160849
N000208,12746283.75705306,110750.47489314755
N000399,7117083.5415648585,88158.47350904327
N000285,67902843.02554315,695293.7568685557
N000490,1144205.0643835317,17196.62085526139
N000819,0.0,0.0
N000692,170845.4267033099,4088.0710576251627
N000516,905111.0133497508,19435.599040521272
N000156,5920448413.188126,50965686.78456636
N000905,444.3667686402459,11.389107813467925
N000835,0.0,0.0
N000386,37018991.89553071,251085.276720775
N000235,7277840.026290687,148579.83530162607
N000178,2845481112.208314,18649226.707651887
N000515,8412986.939148227,214707.15344819243
N000629,0.0,0.0
N000360,0.0,0.0
N000131,595164811.2906284,5084131.074138869
N000379,1046414.3118131986,18672.77519569933
N000410,247241.03667724744,9459.49899043199
N000940,0.0,0.0
N000028,53156497048.36879,489195448.88485044
N000167,34902566.751335345,1141189.0965716587
N000231,710524.3887522278,16877.222841864776
N000323,66217886.44107297,570838.026064763
N000458,29298643.26094935,515627.15948983264
N000599,1553141.731892161,16629.530168965033
N000180,63084676.22743395,1335757.9111940227
N000166,1854241198.132273,7716246.214883162
N000194,330569802.1339522,1848658.6943959459
